episode,timestep,reward
93,2000,3.7118
187,4000,3.385
271,6000,5.0584
353,8000,4.9744
415,10000,12.3413
474,12000,14.8724
528,14000,18.1949
572,16000,28.5488
610,18000,31.4681
648,20000,32.5436
671,22000,76.2694
704,24000,44.7077
723,26000,107.535
744,28000,103.4017
759,30000,140.6529
777,32000,80.1021
793,34000,99.3267
811,36000,116.2644
827,38000,108.3275
841,40000,119.3035
857,42000,150.214
871,44000,162.4339
886,46000,128.6353
898,48000,127.9982
911,50000,181.7303
924,52000,199.3594
938,54000,150.8129
952,56000,168.6893
965,58000,147.9242
976,60000,222.4889
986,62000,209.2425
1000,64000,181.0774
1012,66000,194.3531
1024,68000,173.6763
1035,70000,212.2549
1047,72000,264.4672
1054,74000,310.5266
1066,76000,243.6229
1079,78000,186.7762
1091,80000,167.2955
1104,82000,175.7934
1116,84000,243.9375
1125,86000,296.214
1136,88000,256.0695
1147,90000,242.0897
1157,92000,208.4297
1170,94000,265.8524
1181,96000,255.0659
1192,98000,233.2717
1204,100000,195.7635
1214,102000,256.4239
1224,104000,216.6361
1233,106000,253.1123
1243,108000,210.1262
1252,110000,298.6136
1262,112000,294.0165
1272,114000,277.2119
1281,116000,261.833
1289,118000,344.8077
1300,120000,275.0576
1309,122000,277.8321
1318,124000,285.4531
1327,126000,293.8664
1338,128000,267.1754
1348,130000,302.7627
1359,132000,293.2245
1368,134000,276.1747
1377,136000,304.5837
1386,138000,254.1259
1397,140000,281.566
1407,142000,330.5589
1417,144000,274.5553
1426,146000,305.7806
1434,148000,340.1706
1445,150000,312.46
1457,152000,254.1689
1467,154000,308.2855
1476,156000,331.343
1484,158000,345.3038
1492,160000,345.9606
1501,162000,363.7841
1509,164000,289.0293
1517,166000,332.9267
1526,168000,342.0239
1538,170000,222.5958
1548,172000,314.2799
1559,174000,300.6537
1569,176000,293.4301
1580,178000,271.7968
1589,180000,323.7013
1597,182000,318.4259
1606,184000,312.4677
1616,186000,284.2267
1624,188000,320.5699
1635,190000,282.6784
1645,192000,297.2881
1655,194000,320.6549
1664,196000,273.5053
1674,198000,327.2411
1684,200000,327.4556
1693,202000,328.2045
1706,204000,267.6007
1714,206000,297.0965
1724,208000,325.272
1734,210000,327.9322
1742,212000,334.9077
1750,214000,371.017
1763,216000,273.4256
1773,218000,305.4862
1782,220000,360.797
1794,222000,278.7303
1804,224000,239.444
1814,226000,335.2243
1826,228000,254.4921
1834,230000,318.1689
1844,232000,319.8966
1854,234000,331.6701
1866,236000,290.504
1876,238000,328.3917
1884,240000,378.0389
1893,242000,305.7584
1902,244000,341.3692
